T(K),V(uV),I(uA)
3.4959279999999997,-4223.931768,-1.9
3.495655,-4030.3519890000002,-1.8
3.497293,-3838.1043299999997,-1.7
3.499047,-3647.677711,-1.6
3.4991410000000003,-3459.352495,-1.5
3.499908,-3366.2776409999997,-1.45
3.5000379999999995,-3273.794223,-1.4
3.499314,-3182.173378,-1.35
3.4974410000000002,-3091.3529359999998,-1.3
3.496609,-3001.637543,-1.25
3.4969059999999996,-2912.76668,-1.2
3.4971370000000004,-2825.026906,-1.15
3.4960769999999997,-2738.103205,-1.1
3.4966510000000004,-2652.3630989999997,-1.05
3.497689,-2567.4329350000003,-1.0
3.497779,-2483.398192,-0.95
3.4975419999999997,-2400.0651199999998,-0.9
3.497039,-2316.992396,-0.85
3.495626,-2234.109323,-0.8
3.4969339999999995,-2151.000165,-0.75
3.497841,-2067.038155,-0.7
3.497536,-1982.065223,-0.65
3.4977980000000004,-1894.8965170000001,-0.6
3.4991790000000003,-1804.580168,-0.55
3.498264,-1711.067441,-0.5
3.497584,-1663.223645,-0.475
3.4986870000000003,-1614.229075,-0.45
3.499968,-1563.0361269999999,-0.425
3.499539,-1511.111546,-0.4
3.497778,-1456.882206,-0.375
3.496211,-1401.5136439999999,-0.35
3.495227,-1343.86655,-0.325
3.4939430000000002,-1285.0449429999999,-0.3
3.494281,-1223.9635050000002,-0.275
3.4965980000000005,-1160.293996,-0.25
3.498358,-1093.3552550000002,-0.225
3.4981169999999997,-1022.726327,-0.2
3.498607,-947.6564300000001,-0.175
3.498612,-865.677166,-0.15
3.4974519999999996,-776.320839,-0.125
3.495999,-674.272461,-0.1
3.4973730000000005,-555.134014,-0.075
3.497841,-402.552548,-0.05
3.497549,-212.867581,-0.025
3.497499,2.958577,-0.0
3.499746,217.610369,0.025
3.500429,406.04379,0.05
3.5008980000000003,555.97277,0.075
3.500686,676.279335,0.1
3.500944,777.33037,0.125
3.4992099999999997,865.83414,0.15
3.497413,946.920542,0.175
3.4966510000000004,1022.763929,0.2
3.4969080000000003,1092.723937,0.225
3.4961879999999996,1159.613228,0.25
3.496398,1223.609366,0.275
3.496696,1284.598886,0.3
3.496548,1343.2949449999999,0.325
3.4958110000000002,1400.971182,0.35
3.4957339999999997,1455.968599,0.375
3.496438,1509.9919300000001,0.4
3.49724,1561.94354,0.425
3.497322,1612.876173,0.45
3.497876,1662.3067019999999,0.475
3.498588,1710.045444,0.5
3.497822,1803.380602,0.55
3.496754,1893.36528,0.6
3.496518,1980.523523,0.65
3.4968190000000003,2065.629802,0.7
3.497154,2149.52421,0.75
3.497493,2232.62125,0.8
3.49767,2315.33499,0.85
3.497732,2398.2768969999997,0.9
3.4974410000000002,2481.6042850000003,0.95
3.496785,2565.738521,1.0
3.4966839999999997,2650.555813,1.05
3.4963629999999997,2736.403901,1.1
3.4965040000000003,2823.236458,1.15
3.4967620000000004,2911.015645,1.2
3.4972190000000003,2999.946805,1.25
3.4973419999999997,3089.674875,1.3
3.4972589999999997,3180.535704,1.35
3.496671,3272.28198,1.4
3.495279,3364.6475960000002,1.45
3.494213,3457.825861,1.5
3.493364,3646.1006850000003,1.6
3.4933949999999996,3836.536724,1.7
3.493575,4028.629022,1.8
3.495971,4222.243173,1.9
3.4974529999999997,4417.236525,2.0
3.499139,4613.152105,2.1
3.4991470000000002,4811.6632850000005,2.2
3.4998379999999996,5009.4855609999995,2.3
3.499168,5209.810932,2.4
3.4975050000000003,5410.005397,2.5
3.495888,5613.309213,2.6
3.495163,5816.665728,2.7
3.494853,6023.251668999999,2.8
3.4941660000000003,6229.766398,2.9
3.4956959999999997,6439.702018,3.0
3.4969040000000002,6649.537075,3.1
3.4973370000000004,6862.142439,3.2
3.498162,7075.960123999999,3.3
3.49842,7289.1175,3.4
3.497475,7504.535944,3.5
3.497181,7718.883534999999,3.6
3.497694,7935.305368,3.7
3.4969550000000003,8150.580588,3.8
3.496543,8367.416919,3.9
3.496347,8582.865504000001,4.0
3.495633,8800.207548999999,4.1
3.49482,9016.365004000001,4.2
3.494436,9234.658192,4.3
3.4954300000000003,9452.377725,4.4
3.495678,9672.943240999999,4.5
3.4965129999999998,9892.681365,4.6
3.4968559999999997,10114.618364,4.7
3.497193,10336.272836,4.8
3.496382,10560.233236,4.9
3.496582,10783.4855,5.0
3.495431,11008.848955,5.1
3.4950050000000004,11234.559209000001,5.2
3.49516,11458.854427,5.3
3.4953480000000003,11684.414090999999,5.4
3.4956410000000004,11907.957554999999,5.5
3.496061,12132.898,5.6
3.4966180000000002,12356.027555,5.7
3.496643,12580.3138,5.8
3.4963910000000005,12803.006827,5.9
3.495629,13027.038381999999,6.0
3.495571,13249.113664,6.1
3.493924,13472.420255,6.2
3.4928239999999997,13693.995327,6.3
3.493498,13916.856809,6.4
3.4950080000000003,14137.642172999998,6.5
3.4963559999999996,14359.627327000002,6.6
3.4985589999999998,14579.703572999999,6.7
3.500313,14801.0644,6.8
3.499767,15021.5643,6.9
3.4981150000000003,15240.116363999998,7.0
3.495771,15459.741518,7.1
3.4943910000000002,15677.551191,7.2
3.493981,15896.332418,7.3
3.494794,16113.242982,7.4
3.49649,16331.807173,7.5
3.497792,16548.917455000003,7.6
3.497814,16765.461036,7.7
3.4961339999999996,16981.196555000002,7.8
3.4935480000000005,17198.159009,7.9
3.490136,17413.415990999998,8.0
